dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
uci_wdbc_malignant,real,freeze,569,212,27,0.074074,0.009434,0.016736,0.399166,0.312857,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,ensemble,178,48,3,0.0,0.0,0.0,0.299119,0.191351,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,iforest,178,48,9,0.111111,0.020833,0.035088,0.585897,0.297158,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,ocsvm,178,48,9,0.111111,0.020833,0.035088,0.567949,0.295653,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,lof,178,48,9,0.0,0.0,0.0,0.410417,0.233805,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,autoencoder,178,48,9,0.333333,0.0625,0.105263,0.819872,0.500919,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,flatline,178,48,9,0.111111,0.020833,0.035088,0.375641,0.217814,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,temporal_change,178,48,9,0.0,0.0,0.0,0.299119,0.191351,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_wine_rare_class,real,freeze,178,48,7,0.428571,0.0625,0.109091,0.525321,0.295124,"iforest,ocsvm,lof,autoencoder,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,ensemble,336,2,4,0.25,0.5,0.333333,0.982784,0.208333,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,iforest,336,2,17,0.0,0.0,0.0,0.429641,0.01015,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,ocsvm,336,2,17,0.0,0.0,0.0,0.435629,0.011091,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,lof,336,2,17,0.0,0.0,0.0,0.379491,0.009,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,autoencoder,336,2,17,0.0,0.0,0.0,0.348802,0.006656,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,lstm,336,2,17,0.117647,1.0,0.210526,0.993263,0.325,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,flatline,336,2,17,0.0,0.0,0.0,0.497006,0.008808,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ecoli_rare_class,real,temporal_change,336,2,17,0.117647,1.0,0.210526,0.982784,0.208333,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",,
