dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
kddcup99_smtp,real,temporal_change,9571,3,479,0.004175,0.666667,0.008299,0.864374,0.014009,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
kddcup99_smtp,real,freeze,9571,3,282,0.0,0.0,0.0,0.633553,0.000674,"iforest,ocsvm,lof,lstm,flatline,temporal_change,freeze",temporal_change,kddcup99_smtp
uci_glass_rare_class,real,ensemble,214,9,9,0.111111,0.111111,0.111111,0.83794,0.160214,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,iforest,214,9,11,0.090909,0.111111,0.1,0.673713,0.090148,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,ocsvm,214,9,11,0.090909,0.111111,0.1,0.465041,0.090827,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lof,214,9,11,0.181818,0.222222,0.2,0.83794,0.160214,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,autoencoder,214,9,11,0.090909,0.111111,0.1,0.517615,0.079948,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,lstm,214,9,11,0.0,0.0,0.0,0.75935,0.086072,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,flatline,214,9,11,0.0,0.0,0.0,0.492683,0.042821,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,temporal_change,214,9,11,0.090909,0.111111,0.1,0.693767,0.101953,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_glass_rare_class,real,freeze,214,9,10,0.2,0.222222,0.210526,0.687805,0.201026,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",lof,uci_glass_rare_class
uci_pendigits_digit0,real,ensemble,7494,780,780,0.238462,0.238462,0.238462,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,iforest,7494,780,375,0.152,0.073077,0.098701,0.587406,0.127979,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,ocsvm,7494,780,375,0.16,0.076923,0.103896,0.701612,0.160566,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,lof,7494,780,375,0.162667,0.078205,0.105628,0.503141,0.115363,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,autoencoder,7494,780,375,0.096,0.046154,0.062338,0.284262,0.077531,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,lstm,7494,780,375,0.189333,0.091026,0.122944,0.620121,0.149244,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,flatline,7494,780,375,0.008,0.003846,0.005195,0.284357,0.066998,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,temporal_change,7494,780,375,0.269333,0.129487,0.174892,0.685206,0.199049,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
uci_pendigits_digit0,real,freeze,7494,780,332,0.054217,0.023077,0.032374,0.400857,0.08229,"iforest,ocsvm,lof,autoencoder,lstm,flatline,temporal_change,freeze",ensemble,uci_pendigits_digit0
