dataset,scenario,score_source,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc,models_used,meta_selected_source,meta_matched_dataset
uci_ionosphere_bad,real,lof,351,126,18,0.777778,0.111111,0.194444,0.834356,0.713032,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,knn_distance,351,126,18,1.0,0.142857,0.25,0.910688,0.903876,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,autoencoder,351,126,18,1.0,0.142857,0.25,0.81351,0.780252,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,lstm,351,126,18,0.555556,0.079365,0.138889,0.679594,0.498411,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,flatline,351,126,18,0.333333,0.047619,0.083333,0.45679,0.327223,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,temporal_change,351,126,18,0.333333,0.047619,0.083333,0.615714,0.419973,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_ionosphere_bad,real,freeze,351,126,18,0.277778,0.039683,0.069444,0.438236,0.344893,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,ensemble,569,212,29,0.551724,0.075472,0.13278,0.683209,0.521028,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,iforest,569,212,29,0.586207,0.080189,0.141079,0.660661,0.50261,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,ocsvm,569,212,29,0.62069,0.084906,0.149378,0.632855,0.512018,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
uci_wdbc_malignant,real,lof,569,212,29,0.448276,0.061321,0.107884,0.547322,0.415749,"iforest,ocsvm,lof,knn_distance,autoencoder,lstm,flatline,temporal_change,freeze",,
