dataset,scenario,score_source,seed,noise_std,rows,injected_count,detected_count,precision,recall,f1,roc_auc,pr_auc,best_percentile,best_precision,best_recall,best_f1,threshold,models_used,params_effective,params_signature
baseline_server_metrics,temporal_block,lof,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.921401,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,ensemble,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.927204,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,iforest,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.940801,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,ocsvm,7,0.0,24,3,2,0.0,0.0,0.0,0.777778,0.294444,57.0,0.3,1.0,0.461538,0.999376,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,lof,7,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.859225,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,dead_sensor,ensemble,42,0.0,24,2,2,0.0,0.0,0.0,0.136364,0.072619,95.0,0.0,0.0,0.0,0.849751,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,iforest,42,0.0,24,2,2,0.0,0.0,0.0,0.090909,0.090909,95.0,0.0,0.0,0.0,0.941377,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,ocsvm,42,0.0,24,2,2,0.0,0.0,0.0,0.090909,0.069264,95.0,0.0,0.0,0.0,0.998737,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,lof,42,0.0,24,2,2,0.0,0.0,0.0,0.227273,0.105263,95.0,0.0,0.0,0.0,0.501347,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,ensemble,7,0.0,24,2,2,0.0,0.0,0.0,0.0,0.083333,95.0,0.0,0.0,0.0,0.854111,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,iforest,7,0.0,24,2,2,0.0,0.0,0.0,0.090909,0.090909,95.0,0.0,0.0,0.0,0.973316,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,ocsvm,7,0.0,24,2,2,0.0,0.0,0.0,0.045455,0.086957,95.0,0.0,0.0,0.0,0.99794,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,lof,7,0.0,24,2,1,0.0,0.0,0.0,0.545455,0.166667,50.0,0.166667,1.0,0.285714,0.263084,"iforest,ocsvm,lof","{""contamination"": 0.08}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,sign_flip,ensemble,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.937508,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,iforest,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.934188,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,ocsvm,42,0.0,24,2,2,0.5,0.5,0.5,0.954545,0.583333,87.0,0.666667,1.0,0.8,0.995974,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,lof,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.842204,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,ensemble,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.877854,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,iforest,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.930057,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,ocsvm,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.854411,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,lof,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.850536,"iforest,ocsvm,lof","{""contamination"": 0.05}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
