dataset,scenario,score_source,noise_std,n_runs,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_f1_mean,best_f1_std,best_percentile_median,rows,params_effective,models_used,params_signature
baseline_server_metrics,dead_sensor,temporal_change,0.0,2,0.0,0.0,0.323863,0.107954,0.092446,0.015741,0.090909,0.090909,76.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,freeze,0.0,2,0.0,0.0,0.5,0.0,0.083333,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,sign_flip,ensemble,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,iforest,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,ocsvm,0.0,2,0.25,0.25,0.875,0.011364,0.379762,0.013095,0.535714,0.035714,85.5,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,lof,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,knn_distance,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,flatline,0.0,2,0.0,0.0,0.0,0.0,0.07337,0.009964,0.0,0.0,95.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,temporal_change,0.0,2,0.666667,0.0,0.988636,0.0,0.833333,0.0,0.8,0.0,87.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
baseline_server_metrics,sign_flip,freeze,0.0,2,0.0,0.0,0.5,0.0,0.083333,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.05}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.05}, ""scenario"": ""sign_flip""}"
